"theme","description"
"Address/Location","Information regarding where the applicant/recipient lived, owned property, or was \r\nphysically present in a specific location"
"Address/location","Information regarding where the applicant/recipient lived, owned property, or was \r\nphysically present in a specific location"
"Death","Identifies whether a person is dead"
"Marital Status","A person's state of being single, married, separated, divorced, or widowed"
"Military Status","The condition of being, or having been in the uniformed services"
"Prisoner Status","Eligibility for benefits or payment based on prisoner status"
"Receiving Benefits from Other Sources","Beneficiary or recipient is receiving benefits from an additional source"
"Residency","Status of recipient's living location or arrangement"
"Employment","The employment status of the recipient/beneficiary"
"Financial","The financial position or status of a beneficiary, recipient, or their family"
"Household Size","Number of family members in a household"
"Household","Number of family members in a household"
"Medical Status","Identifies whether a person is sick/healthy"
"Affiliation","Criteria that require the applicant/recipient as being attached or connected to \r\na type of group, organization, or particular attribute"
"Age","The biological age of the recipient/beneficiary"
"Citizenship","Recognized as a United States citizen through birth or naturalization, or as a \r\nlawfully present non-citizen in the United States"
"Contractor or Provider Status","Status or standing of contractor or provider, including recipient eligibility to \r\nprovide medical services"
"Deceased","Date of death of the recipient/beneficiary"
"Dependency","Describes who the recipient/beneficiary relies on as a primary source of support"
"Education","The education level or enrollment status of the recipient/beneficiary"
"Education Related","The education level or enrollment status of the recipient/beneficiary"
"Identity","Able to establish that someone is uniquely who they claim to be"
