"Agency","Last_Risk_Assessment","Program_Name"
"VA","2021",""
"EPA","2023","[Water Infrastructure Finance and Innovation Act Program (WIFIA)]"
"NASA","2023","21st Century Space Launch Complex"
"USAID","2021","A01 Counter-Terrorism"
"USAID","2021","A04 Counter-Narcotics"
"USAID","2021","A05 Transnational Crime"
"USAID","2024","A06 Conflict Mitigation and Reconciliation"
"USAID","2024","A07 Rule of Law and Human Rights"
"USAID","2024","A08 Good Governance"
"USAID","2021","A09 Political Competition and Consensus-Building"
"USAID","2024","A10 Civil Society"
"USAID","2024","A11 Health"
"USAID","2024","A12 Education"
"USAID","2022","A13 Social and Economic Services and Protection for Vulnerable Populations"
"USAID","2021","A14 Macroeconomic Foundation for Growth"
"USAID","2024","A15 Trade and Investment"
"USAID","2022","A16 Financial Sector"
"USAID","2024","A17 Infrastructure"
"USAID","2024","A18 Agriculture"
"USAID","2024","A19 Private Sector Competitiveness"
"USAID","2021","A20 Economic Opportunity"
"USAID","2024","A21 Environment"
"USAID","2024","A22 Protection, Assistance and Solutions"
"USAID","2024","A26 Program Design and Learning"
"USAID","2024","A27 Administration and Oversight"
"DOI","2025","Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement"
"DOI","2022","Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 22XS501520, 23XS501520"
"GSA","2024","Acquisition Services Fund - Operating"
"GSA","2025","Acquisition Workforce Training"
"VA","2025","Activities with Other Federal Agencies"
"HHS","2024","Administration for Children and Families (ACF) - Adoption and Legal Guardianship Incentive Payments Program"
"HHS","2024","Administration for Children and Families (ACF) - Adoption Assistance"
"HHS","2024","Administration for Children and Families (ACF) - Adoption Opportunities"
"HHS","2025","Administration for Children and Families (ACF) - Affordable Care Act (ACA) Personal Responsibility Education Program"
"HHS","2025","Administration for Children and Families (ACF) - Assistance for Torture Victims"
"HHS","2025","Administration for Children and Families (ACF) - Basic Center Grant"
"HHS","2025","Administration for Children and Families (ACF) - Chafee Education and Training Vouchers Program (ETV)"
"HHS","2023","Administration for Children and Families (ACF) - Child Abuse and Neglect Discretionary Activities"
"HHS","2023","Administration for Children and Families (ACF) - Child Abuse and Neglect State Grants"
"HHS","2025","Administration for Children and Families (ACF) - Child Care Disaster Relief"
"HHS","2022","Administration for Children and Families (ACF) - Child Care Stabilization Grants (American Rescue Plan)"
"HHS","2023","Administration for Children and Families (ACF) - Child Support Services"
"HHS","2023","Administration for Children and Families (ACF) - Child Support Services Research"
"HHS","2023","Administration for Children and Families (ACF) - Child Welfare Research Training or Demonstration"
"HHS","2023","Administration for Children and Families (ACF) - Children's Justice Grants to States"
"HHS","2024","Administration for Children and Families (ACF) - Community Services Block Grant"
"HHS","2024","Administration for Children and Families (ACF) - Community Services Block Grant Discretionary Awards"
"HHS","2023","Administration for Children and Families (ACF) - Community-Based Child Abuse Prevention Grants"
"HHS","2024","Administration for Children and Families (ACF) - Congressional Directives"
"HHS","2025","Administration for Children and Families (ACF) - Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth"
"HHS","2024","Administration for Children and Families (ACF) - Enhance Safety of Children Affected by Substance Abuse"
"HHS","2023","Administration for Children and Families (ACF) - Every Student Succeeds Act/Preschool Development Grants"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Discretionary"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/State Domestic Violence Coalitions"
"HHS","2021","Administration for Children and Families (ACF) - Foster Care Title IV-E"
"HHS","2024","Administration for Children and Families (ACF) - Grants to States for Access and Visitation Programs"
"HHS","2024","Administration for Children and Families (ACF) - Guardianship Assistance"
"HHS","2021","Administration for Children and Families (ACF) - Head Start"
"HHS","2024","Administration for Children and Families (ACF) - Healthy Marriage Promotion and Responsible Fatherhood Grants"
"HHS","2025","Administration for Children and Families (ACF) - John H. Chafee Foster Care Program for Successful Transition to Adulthood"
"HHS","2022","Administration for Children and Families (ACF) - Low Income Household Water Assistance Program"
"HHS","2024","Administration for Children and Families (ACF) - Low-Income Home Energy Assistance"
"HHS","2023","Administration for Children and Families (ACF) - MaryLee Allen Promoting Safe and Stable Families Program"
"HHS","2023","Administration for Children and Families (ACF) - Native American Programs"
"HHS","2025","Administration for Children and Families (ACF) - Payments to Territories - Adults"
"HHS","2024","Administration for Children and Families (ACF) - Promote the Survival and Continuing Vitality of Native American Languages"
"HHS","2025","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Discretionary Grants"
"HHS","2025","Administration for Children and Families (ACF) - Refugee and Entrant Assistance State/Replacement Designee Administered Programs"
"HHS","2025","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Voluntary Agency Programs"
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Wilson/Fish Program"
"HHS","2024","Administration for Children and Families (ACF) - Services to Victims of a Severe Form of Trafficking"
"HHS","2025","Administration for Children and Families (ACF) - Sexual Risk Avoidance Education"
"HHS","2023","Administration for Children and Families (ACF) - Social Services Block Grant"
"HHS","2023","Administration for Children and Families (ACF) - Social Services Research and Demonstration"
"HHS","2023","Administration for Children and Families (ACF) - State Court Improvement Program"
"HHS","2024","Administration for Children and Families (ACF) - Stephanie Tubbs Jones Child Welfare Services Program"
