"Fiscal_Year","Agency","Program_Name","Column_names","Multiselect_Text","Question","Section","Reporting_Phases_Current_FY"
"2023","DOW","Civilian Pay","cyp6_atp1_8","Training","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","DOW","Civilian Pay","cyp7_atp1_8","Training","[cyp7_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp3_atp1_8","Audit","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_atp1_8","Audit","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_atp1_8","Training","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_atp1_8","Cross Enterprise Sharing","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_atp1_8","Change Process","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp6_atp1_8","","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2025","DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","cyp21_atp1_8","Training","[cyp21_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2023","DOW","Military Retirement","cyp5_app1_8","Change Process","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","DOW","Military Retirement","cyp6_app1_8","Change Process","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2025","ED","William D. Ford Federal Direct Loan Program","cyp5_app1_8","Behavioral/Psych Influence","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","cyp2_atp1_8","","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","cyp6_app1_8","Audit","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","VA","Pension","cyp2_atp1_8","Automation","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","VA","Pension","cyp2_atp1_8","Audit","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No): 
[atp1] Automation
[atp2] Behavioral/Psych Influence
[atp3] Training
[atp4] Change Process
[atp5] Cross Enterprise Sharing
[atp6] Audit
[atp7] Predictive Analytics
[atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","ED","William D. Ford Federal Direct Loan Program","cyp3_app1_8","Cross Enterprise Sharing","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","USDA","National School Lunch Program","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","cyp6_atp1_8","Audit","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments",""
"2023","SBA","7(a) Loan Guarantees Purchases","cyp5_app1_8","Training","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Automation","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp5_app1_8","Audit","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp6_app1_8","Predictive Analytics","[cyp6_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","ED","Federal Pell Grant Program","cyp6_atp1_8","Training","[cyp6_atp1_8] Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2025","DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","cyp5_app1_8","","[cyp5_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Prevention","Phase 2"
"2025","DOT","Federal Transit Administration Transit Infrastructure Grants - COVID Relief Funds","cyp7_app1_8","","[cyp7_app1_8] Select the type(s) of corrective Actions PLANNED to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Prevention","Phase 2"
