"Fiscal_Year","Agency","Program_Name","Agency_Compliance","pcp12_1","pcp01_1","pcp2_2","pcp3_2","pcp4_2","pcp5_2","pcp6_2","pcp7_2","pcp8_2","pcp9_2","pcp10_2","pcp11_2"
"2023","CNCS","AmeriCorps Volunteers in Service to America (VISTA)","Non-compliant","2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CSOSA","Judicial Concurrence with PSA Recommendations","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Countering Weapons of Mass Destruction Office - Federal Assistance","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","The Foster Grandparent Program (FGP)","Non-compliant","2","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"2023","CSOSA","Accountability","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","AB","Rehabilitation Act Section 502","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CSOSA","Fair Administration of Justice","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CFTC","Whistleblower Payments","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","The Retired and Senior Volunteer Program (RSVP)","Non-compliant","2","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"2023","DHS","Federal Emergency Management Agency - Commercial Bill of Lading","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Building Resilient Infrastructure and Communities Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","Office of Human Capital (Payroll)","Non-compliant","2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Disaster Case Management","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","AmeriCorps State and National","Non-compliant","2","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","AmeriCorps State Service Commission Grants","Non-compliant","2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CFTC","Operations and Administration","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","AmeriCorps National Civilian Community Corps (NCCC)","Non-compliant","2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CSOSA","Integration","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","The Senior Companion Program (SCP)","Non-compliant","2","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"2023","CNCS","Office of Procurement Services","Non-compliant","2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Emergency Food & Shelter Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Emergency Management Performance Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CPSC","Payroll - CPSC","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Nonprofit Security Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CSOSA","Reduce Recidivism","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Payroll","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Countering Weapons of Mass Destruction Office - Operations & Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CSOSA","Maximize Court Appearance","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
