"Agency","Program_Name","Fiscal_Year","key","value"
"BGSF","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"BGSF","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"BGSF","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"BGSF","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"CFTC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"CFTC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"CNCS","","2025","OP Amt Identified outside of Payment Recapture Audits","0.9000000000"
"CNCS","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.8000000000"
"CNCS","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"CNCS","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"CPSC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"CPSC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"CSOSA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"CSOSA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DFC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"DFC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DHS","","2025","OP Amt Identified outside of Payment Recapture Audits","45.7320000000"
"DHS","","2025","OP Amt Recapture outside of Payment Recapture Audits","102.1720000000"
"DHS","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"DHS","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DNFSB","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"DNFSB","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DOC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"DOC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DOE","","2025","OP Amt Identified outside of Payment Recapture Audits","69.1700000000"
"DOE","","2025","OP Amt Recapture outside of Payment Recapture Audits","65.1200000000"
"DOE","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"DOE","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DOI","","2025","OP Amt Identified outside of Payment Recapture Audits","9.5600000000"
"DOI","","2025","OP Amt Recapture outside of Payment Recapture Audits","10.3500000000"
"DOI","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"DOI","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DOJ","","2025","OP Amt Identified outside of Payment Recapture Audits","4.2800000000"
"DOJ","","2025","OP Amt Recapture outside of Payment Recapture Audits","4.0700000000"
"DOJ","","2025","OP Amt Identified through Payment Recapture Audits","0.1900000000"
"DOJ","","2025","OP Amt Recaptured through Payment Recapture Audits","0.1800000000"
"DOJ","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0100000000"
"DOJ","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"DOJ","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"DOJ","","2025","Total Overpayment Amount Recovered","4.2500000000"
"DOJ","","2025","Total Overpayment Amount Identified","4.4700000000"
"DOJ","","2025","Recovery Audit Amount Outstanding Rate","5.2631578947"
"DOJ","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DOL","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0010000000"
"DOL","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0010000000"
"DOL","","2025","OP Amt Identified through Payment Recapture Audits","100.0000000000"
"DOL","","2025","OP Amt Recaptured through Payment Recapture Audits","50.0000000000"
"DOL","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","1.0000000000"
"DOL","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","2.0000000000"
"DOL","","2025","Aging of Outstanding OP Identified determined not collectable","1.0000000000"
"DOL","","2025","Total Overpayment Amount Recovered","50.0010000000"
"DOL","","2025","Total Overpayment Amount Identified","100.0010000000"
"DOL","","2025","Recovery Audit Amount Outstanding Rate","3.0000000000"
"DOL","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","1.0000000000"
"DOT","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"DOT","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"DOT","","2025","OP Amt Identified through Payment Recapture Audits","22.5109618800"
"DOT","","2025","OP Amt Recaptured through Payment Recapture Audits","22.4850994800"
"DOT","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0258624000"
"DOT","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"DOT","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"DOT","","2025","Total Overpayment Amount Recovered","22.4850994800"
"DOT","","2025","Total Overpayment Amount Identified","22.5109618800"
"DOT","","2025","Recovery Audit Amount Outstanding Rate","0.1148880272"
"DOT","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"DOW","","2025","OP Amt Identified through Payment Recapture Audits","1369.4600000000"
"DOW","","2025","OP Amt Recaptured through Payment Recapture Audits","1284.8600000000"
"DOW","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","168.0200000000"
"DOW","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","92.2900000000"
"DOW","","2025","Aging of Outstanding OP Identified determined not collectable","17.0600000000"
"DOW","","2025","Recovery Audit Amount Outstanding Rate","26031.0000000000"
"DOW","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","1706.0000000000"
"EAC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"EAC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"ED","","2025","OP Amt Identified outside of Payment Recapture Audits","443.5400000000"
"ED","","2025","OP Amt Recapture outside of Payment Recapture Audits","430.7900000000"
"ED","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"ED","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"EEOC","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"EEOC","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"EEOC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"EEOC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"EPA","","2025","OP Amt Identified outside of Payment Recapture Audits","50.4700000000"
"EPA","","2025","OP Amt Recapture outside of Payment Recapture Audits","55.9500000000"
