"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"AB","2022","Rehabilitation Act Section 502","","","No",""
"AB","2023","Rehabilitation Act Section 502","","","No",""
"ACOUS","2025","Salaries and Expenses","","","No",""
"ARC","2025","Appalachian Area Development","","","No",""
"ARC","2025","Appalachian Development Highway System","","","No",""
"ARC","2025","Appalachian Local Development District Assistance","","","No",""
"ARC","2025","Appalachian Regional Development","","","No",""
"ARC","2025","Appalachian Research, Technical Assistance, and Demonstration Projects","","","No",""
"ASC","2025","Board Support and Innovation Grant","","","No",""
"ASC","2025","State Appraiser Agency Support Grants","","","No",""
"BBG","2017","Domestic Payroll","","","No",""
"BBG","2017","International Broadcasting Bureau (IBB)","","","No",""
"BBG","2017","Middle East Broadcasting Networks (MBN/MN)","","","No",""
"BBG","2017","Office of Cuba Broadcasting (OCB)","","","No",""
"BBG","2017","Overseas Payroll","","","No",""
"BBG","2017","Radio Free Asia (RFA)","","","No",""
"BBG","2017","Radio Free Europe (RFE/RL)","","","No",""
"BBG","2017","Technology, Services and Innovation (TSI)","","","No",""
"BBG","2017","Voice of America (VOA)","","","No",""
"BGSF","2025","Barry M. Goldwater Scholarship Program","","","No",""
"CCR","2025","Commission on Civil Rights","","","No",""
"CFTC","2020","Operations and Administration","","","Yes","No"
"CFTC","2022","Operations and Administration","0","No","Yes","No"
"CFTC","2023","Operations and Administration","0","","No","No"
"CFTC","2024","Operations and Administration","0","","No","No"
"CFTC","2025","Operations and Administration","0","","Yes","No"
"CFTC","2022","Whistleblower Payments","0","No","Yes","No"
"CFTC","2023","Whistleblower Payments","","","No","No"
"CFTC","2024","Whistleblower Payments","0","","No","No"
"CFTC","2025","Whistleblower Payments","0","","Yes","No"
"CNCS","2018","AmeriCorps National Civilian Community Corps (NCCC)","","","No",""
"CNCS","2021","AmeriCorps National Civilian Community Corps (NCCC)","","No","Yes","No"
"CNCS","2022","AmeriCorps National Civilian Community Corps (NCCC)","","","No","No"
"CNCS","2023","AmeriCorps national Civilian Community Corps (NCCC)","0","","No","No"
"CNCS","2024","AmeriCorps National Civilian Community Corps (NCCC)","0","","No","No"
"CNCS","2025","AmeriCorps National Civilian Community Corps (NCCC)","0","","Yes","No"
"CNCS","2017","AmeriCorps State and National","","","No",""
"CNCS","2018","AmeriCorps State and National","","","No",""
"CNCS","2019","AmeriCorps State and National","","","No",""
"CNCS","2020","AmeriCorps State and National","","","Yes","Yes"
"CNCS","2021","AmeriCorps State and National","","","Yes","Yes"
"CNCS","2022","AmeriCorps State and National","0","No","Yes","Yes"
"CNCS","2023","AmeriCorps State and National","0","","Yes","Yes"
"CNCS","2024","AmeriCorps State and National","0","","Yes","Yes"
"CNCS","2025","AmeriCorps State and National","0","","Yes","Yes"
"CNCS","2018","AmeriCorps State Service Commission Grants","","","No",""
"CNCS","2021","AmeriCorps State Service Commission Grants","","No","Yes","No"
"CNCS","2022","AmeriCorps State Service Commission Grants","0","No","Yes","No"
"CNCS","2023","AmeriCorps State Service Commission Grants","0","","No","No"
"CNCS","2024","AmeriCorps State Service Commission Grants","0","","No","No"
"CNCS","2025","AmeriCorps State Service Commission Grants","0","","Yes","No"
"CNCS","2018","AmeriCorps Volunteers in Service to America (VISTA)","","","No",""
"CNCS","2021","AmeriCorps Volunteers in Service to America (VISTA)","","No","Yes","No"
"CNCS","2022","AmeriCorps Volunteers in Service to America (VISTA)","0","No","Yes","No"
"CNCS","2023","AmeriCorps Volunteers in Service to America (VISTA)","0","","No","No"
"CNCS","2024","AmeriCorps Volunteers in Service to America (VISTA)","0","","No","No"
"CNCS","2025","AmeriCorps Volunteers in Service to America (VISTA)","0","","Yes","No"
"CNCS","2024","Commission Investment Fund (CIF)","","","No",""
"CNCS","2025","Commission Investment Fund (CIF)","","","No",""
"CNCS","2024","Disaster Response Cooperative Agreement","","","No",""
"CNCS","2025","Disaster Response Cooperative Agreement","","","No",""
"CNCS","2025","Innovation and Demonstration","","","No",""
"CNCS","2024","MLK Day of Service","","","No",""
"CNCS","2025","MLK Day of Service","","","No",""
"CNCS","2018","National Service Trust","","","No",""
"CNCS","2021","National Service Trust","","No","Yes","No"
"CNCS","2022","National Service Trust","0","No","Yes","No"
"CNCS","2023","National Service Trust","0","","Yes","Yes"
"CNCS","2024","National Service Trust","0","","Yes","No"
"CNCS","2025","National Service Trust","0","","Yes","No"
"CNCS","2018","Office of Human Capital (Payroll)","","","No",""
"CNCS","2021","Office of Human Capital (Payroll)","","No","Yes","No"
"CNCS","2022","Office of Human Capital (Payroll)","0","No","Yes","No"
"CNCS","2023","Office of Human Capital (Payroll)","0","","No","No"
"CNCS","2024","Office of Human Capital (Payroll)","0","","No","No"
"CNCS","2025","Office of Human Capital (Payroll)","0","","Yes","No"
"CNCS","2018","Office of Procurement Services","","","No",""
"CNCS","2021","Office of Procurement Services","","No","Yes","No"
"CNCS","2022","Office of Procurement Services","0","No","Yes","No"
"CNCS","2023","Office of Procurement Services","0","","No","No"
"CNCS","2024","Office of Procurement Services","0","","No","No"
"CNCS","2025","Office of Procurement Services","0","","Yes","No"
"CNCS","2024","Sept 11th National Day of Service","","","No",""
"CNCS","2025","Sept 11th National Day of Service","","","No",""
"CNCS","2024","Service and Civic Engagement Research Competition","","","No",""
"CNCS","2025","Service and Civic Engagement Research Competition","","","No",""
"CNCS","2017","The Foster Grandparent Program (FGP)","","","No",""
"CNCS","2018","The Foster Grandparent Program (FGP)","","","No",""
"CNCS","2019","The Foster Grandparent Program (FGP)","","","No",""
"CNCS","2020","The Foster Grandparent Program (FGP)","","","Yes","Yes"
"CNCS","2021","The Foster Grandparent Program (FGP)","","","Yes","Yes"
"CNCS","2022","The Foster Grandparent Program (FGP)","","","Yes","Yes"
"CNCS","2023","The Foster Grandparent Program (FGP)","0","","Yes","No"
"CNCS","2024","The Foster Grandparent Program (FGP)","0","","Yes","Yes"
"CNCS","2025","The Foster Grandparent Program (FGP)","0","","Yes","Yes"
"CNCS","2017","The Retired and Senior Volunteer Program (RSVP)","","","No",""
"CNCS","2018","The Retired and Senior Volunteer Program (RSVP)","","","No",""
"CNCS","2019","The Retired and Senior Volunteer Program (RSVP)","","","No",""
"CNCS","2020","The Retired and Senior Volunteer Program (RSVP)","","","Yes","No"
"CNCS","2021","The Retired and Senior Volunteer Program (RSVP)","","","Yes","No"
"CNCS","2022","The Retired and Senior Volunteer Program (RSVP)","","","Yes","No"
"CNCS","2023","The Retired and Senior Volunteer Program (RSVP)","0","","Yes","No"
"CNCS","2024","The Retired and Senior Volunteer Program (RSVP)","0","","Yes","No"
"CNCS","2025","The Retired and Senior Volunteer Program (RSVP)","0","","Yes","No"
"CNCS","2017","The Senior Companion Program (SCP)","","","No",""
"CNCS","2018","The Senior Companion Program (SCP)","","","No",""
"CNCS","2019","The Senior Companion Program (SCP)","","","No",""
"CNCS","2020","The Senior Companion Program (SCP)","","","Yes","No"
"CNCS","2021","The Senior Companion Program (SCP)","","","Yes","No"
"CNCS","2022","The Senior Companion Program (SCP)","","","Yes","No"
"CNCS","2023","The Senior Companion Program (SCP)","0","","Yes","No"
"CNCS","2024","The Senior Companion Program (SCP)","0","","Yes","No"
"CNCS","2025","The Senior Companion Program (SCP)","0","","Yes","No"
"CNCS","2024","Volunteer Generation Fund","0","","No",""
"CNCS","2025","Volunteer Generation Fund","","","No",""
"CPSC","2019","Consumer Product Safety","","No","Yes","No"
"CPSC","2020","Consumer Product Safety","","","No","No"
"CPSC","2021","Consumer Product Safety","","","No","No"
"CPSC","2025","Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Grants","0","","Yes","No"
"CPSC","2017","Non-Payroll","","","No",""
"CPSC","2018","Non-Payroll","","","No",""
"CPSC","2019","Non-Payroll","","","No",""
"CPSC","2020","Non-Payroll","","NO","No",""
"CPSC","2021","Non-Payroll","","No","Yes","No"
"CPSC","2022","Non-Payroll","0","No","Yes","No"
"CPSC","2023","Non-Payroll","","","No","No"
"CPSC","2024","Non-Payroll","0","","Yes","No"
"CPSC","2025","Non-Payroll – CPSC, Non-grants","0","","Yes","No"
"CPSC","2021","Payroll - CPSC","","No","Yes","No"
"CPSC","2022","Payroll - CPSC","0","No","Yes","No"
"CPSC","2023","Payroll - CPSC","","","No","No"
"CPSC","2024","Payroll - CPSC","0","","Yes","No"
"CPSC","2025","Payroll - CPSC","0","","Yes","No"
"CPSC","2025","Virginia Graeme Baker Pool and Spa Safety Grants","0","","Yes","No"
"CSOSA","2022","Accountability","","","No",""
"CSOSA","2023","Accountability","0","","Yes","No"
"CSOSA","2024","Community Supervision Program","0","","No",""
"CSOSA","2025","Community Supervision Program","","","No",""
"CSOSA","2022","Continued Pretrial Release","","","No",""
"CSOSA","2023","Continued Pretrial Release","0","","Yes","No"
"CSOSA","2022","Fair Administration of Justice","","","No",""
"CSOSA","2023","Fair Administration of Justice","0","","Yes","No"
"CSOSA","2022","Integration","","","No",""
"CSOSA","2023","Integration","0","","Yes","No"
"CSOSA","2022","Judicial Concurrence with PSA Recommendations","","","No",""
"CSOSA","2023","Judicial Concurrence with PSA Recommendations","0","","Yes","No"
"CSOSA","2022","Maximize Court Appearance","","","No",""
"CSOSA","2023","Maximize Court Appearance","0","","Yes","No"
"CSOSA","2022","Minimize Rearrest","","","No",""
"CSOSA","2023","Minimize Rearrest","0","","Yes","No"
"CSOSA","2024","Pretrial Services Agency","0","","No",""
"CSOSA","2025","Pretrial Services Agency","","","No",""
"CSOSA","2022","Reduce Recidivism","","","No",""
"CSOSA","2023","Reduce Recidivism","0","","Yes","No"
"DENALI","2025","Denali Commission Program1","","","No",""
"DENALI","2025","Denali Commission Program2","","","No",""
"DENALI","2025","Shared Services","","","No",""
"DFC","2024","Debt Financing Program","0","","Yes","No"
"DFC","2025","Debt Financing Program","0","","Yes","No"
"DFC","2024","Equity Program","","","No",""
"DFC","2025","Equity Program","0","","Yes","No"
"DFC","2024","Insurance Program","","","No",""
"DFC","2025","Insurance Program","0","","Yes","No"
