QuarterYear,Quarter,Year,Program_Name,Link,Filename
Q1 2021,1,2021,504 Certified Development Loans Approvals,assets/scorecards/Q1 2021/504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q1.pdf,504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q1.pdf
Q2 2021,2,2021,504 Certified Development Loans Approvals,assets/scorecards/Q2 2021/504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q2.pdf,504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q2.pdf
Q3 2021,3,2021,504 Certified Development Loans Approvals,assets/scorecards/Q3 2021/504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q3.pdf,504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q3.pdf
Q4 2021,4,2021,504 Certified Development Loans Approvals,assets/scorecards/Q4 2021/504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q4.pdf,504 Certified Development Company Guaranty Approvals Payments Integrity Scorecard FY 2021 Q4.pdf
Q2 2023,2,2023,504 Certified Development Loans Approvals,assets/scorecards/Q2 2023/504 Certified Development Loans Approvals.pdf,504 Certified Development Loans Approvals.pdf
Q3 2023,3,2023,504 Certified Development Loans Approvals,assets/scorecards/Q3 2023/504 Certified Development Loans Approvals.pdf,504 Certified Development Loans Approvals.pdf
Q4 2023,4,2023,504 Certified Development Loans Approvals,assets/scorecards/Q4 2023/504 Certified Development Loans Approvals.pdf,504 Certified Development Loans Approvals.pdf
Q1 2021,1,2021,7(a) Loan Guarantees Approvals,assets/scorecards/Q1 2021/7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q1.pdf,7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q1.pdf
Q2 2021,2,2021,7(a) Loan Guarantees Approvals,assets/scorecards/Q2 2021/7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q2.pdf,7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q2.pdf
Q3 2021,3,2021,7(a) Loan Guarantees Approvals,assets/scorecards/Q3 2021/7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q3.pdf,7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q3.pdf
Q4 2021,4,2021,7(a) Loan Guarantees Approvals,assets/scorecards/Q4 2021/7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q4.pdf,7(a) Guaranty Approvals Payments Integrity Scorecard FY 2021 Q4.pdf
Q2 2023,2,2023,7(a) Loan Guarantees Approvals,assets/scorecards/Q2 2023/7(a) Loan Guarantees Approvals.pdf,7(a) Loan Guarantees Approvals.pdf
Q3 2023,3,2023,7(a) Loan Guarantees Approvals,assets/scorecards/Q3 2023/7(a) Loan Guarantees Approvals.pdf,7(a) Loan Guarantees Approvals.pdf
Q1 2022,1,2022,Administration for Children and Families (ACF) - Child Care and Development Fund,assets/scorecards/Q1 2022/ACF Child Care and Development Fund (CCDF) Payments Integrity Scorecard FY 2022 Q1.pdf,ACF Child Care and Development Fund (CCDF) Payments Integrity Scorecard FY 2022 Q1.pdf
Q2 2022,2,2022,Administration for Children and Families (ACF) - Child Care and Development Fund,assets/scorecards/Q2 2022/ACF Child Care and Development Fund (CCDF) Payments Integrity Scorecard FY 2022 Q2.pdf,ACF Child Care and Development Fund (CCDF) Payments Integrity Scorecard FY 2022 Q2.pdf
Q3 2022,3,2022,Administration for Children and Families (ACF) - Child Care and Development Fund,assets/scorecards/Q3 2022/ACF Child Care and Development Fund (CCDF) Payments Integrity Scorecard FY 2022 Q3.pdf,ACF Child Care and Development Fund (CCDF) Payments Integrity Scorecard FY 2022 Q3.pdf
Q1 2020,1,2020,Internal Revenue Service - Additional Child Tax Credit,assets/scorecards/Q1 2020/Additional Child Tax Credit Getting Payments Right Scorecard FY 2020 Q1.png,Additional Child Tax Credit Getting Payments Right Scorecard FY 2020 Q1.png
Q3 2020,3,2020,Internal Revenue Service - Additional Child Tax Credit,assets/scorecards/Q3 2020/Additional Child Tax Credit Getting Payments Right Scorecard FY 2020 Q3.png,Additional Child Tax Credit Getting Payments Right Scorecard FY 2020 Q3.png
Q4 2020,4,2020,Internal Revenue Service - Additional Child Tax Credit,assets/scorecards/Q4 2020/Additional Child Tax Credit Getting Payments Right Scorecard FY 2020 Q4.png,Additional Child Tax Credit Getting Payments Right Scorecard FY 2020 Q4.png
Q1 2021,1,2021,Internal Revenue Service - Additional Child Tax Credit,assets/scorecards/Q1 2021/Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q1.pdf,Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q1.pdf
Q2 2021,2,2021,Internal Revenue Service - Additional Child Tax Credit,assets/scorecards/Q2 2021/Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q2.pdf,Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q2.pdf
Q3 2021,3,2021,Internal Revenue Service - Additional Child Tax Credit,assets/scorecards/Q3 2021/Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q3.pdf,Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q3.pdf
Q4 2021,4,2021,Internal Revenue Service - Additional Child Tax Credit,assets/scorecards/Q4 2021/Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q4.pdf,Additional Child Tax Credit Payments Integrity Scorecard FY 2021 Q4.pdf
Q4 2024,4,2024,Administration for Children and Families (ACF) - Head Start,assets/scorecards/Q4 2024/Administration for Children and Families - (ACF) Head Start.pdf,Administration for Children and Families - (ACF) Head Start.pdf
Q4 2022,4,2022,Administration for Children and Families (ACF) - ARRA – Child Care and Development Block Grant,assets/scorecards/Q4 2022/Administration for Children and Families (ACF) - Child Care and Development Block Grant Payments Integrity Scorecard FY 2022 Q4.pdf,Administration for Children and Families (ACF) - Child Care and Development Block Grant Payments Integrity Scorecard FY 2022 Q4.pdf
Q1 2025,1,2025,Administration for Children and Families (ACF) - Child Care and Development Fund,assets/scorecards/Q1 2025/Administration for Children and Families (ACF) - Child Care and Development Fund.pdf,Administration for Children and Families (ACF) - Child Care and Development Fund.pdf
Q3 2025,3,2025,Administration for Children and Families (ACF) - Child Care and Development Fund,assets/scorecards/Q3 2025/Administration for Children and Families (ACF) - Child Care and Development Fund.pdf,Administration for Children and Families (ACF) - Child Care and Development Fund.pdf
Q4 2025,4,2025,Administration for Children and Families (ACF) - Child Care and Development Fund,assets/scorecards/Q4 2025/Administration for Children and Families (ACF) - Child Care and Development Fund.pdf,Administration for Children and Families (ACF) - Child Care and Development Fund.pdf
Q1 2024,1,2024,Administration for Children and Families (ACF) - Head Start,assets/scorecards/Q1 2024/Administration for Children and Families (ACF) - Head Start.pdf,Administration for Children and Families (ACF) - Head Start.pdf
Q2 2024,2,2024,Administration for Children and Families (ACF) - Head Start,assets/scorecards/Q2 2024/Administration for children and Families (ACF) - Head Start.pdf,Administration for children and Families (ACF) - Head Start.pdf
Q3 2024,3,2024,Administration for Children and Families (ACF) - Head Start,assets/scorecards/Q3 2024/Administration for Children and Families (ACF) - Head Start.pdf,Administration for Children and Families (ACF) - Head Start.pdf
Q2 2025,2,2025,Administration for Children and Families (ACF) - Child Care and Development Fund,assets/scorecards/Q2 2025/Administration for Children and Families (ACF) - Child Care and Development Fund_updated.pdf,Administration for Children and Families (ACF) - Child Care and Development Fund_updated.pdf
Q1 2020,1,2020,Internal Revenue Service - American Opportunity Tax Credit,assets/scorecards/Q1 2020/American Opportunity Tax Credit Getting Payments Right Scorecard FY 2002 Q1.png,American Opportunity Tax Credit Getting Payments Right Scorecard FY 2002 Q1.png
Q3 2020,3,2020,Internal Revenue Service - American Opportunity Tax Credit,assets/scorecards/Q3 2020/American Opportunity Tax Credit Getting Payments Right Scorecard FY 2020 Q3.png,American Opportunity Tax Credit Getting Payments Right Scorecard FY 2020 Q3.png
Q4 2020,4,2020,Internal Revenue Service - American Opportunity Tax Credit,assets/scorecards/Q4 2020/American Opportunity Tax Credit Getting Payments Right Scorecard FY 2020 Q4.png,American Opportunity Tax Credit Getting Payments Right Scorecard FY 2020 Q4.png
Q1 2021,1,2021,Internal Revenue Service - American Opportunity Tax Credit,assets/scorecards/Q1 2021/American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q1.pdf,American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q1.pdf
Q2 2021,2,2021,Internal Revenue Service - American Opportunity Tax Credit,assets/scorecards/Q2 2021/American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q2.pdf,American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q2.pdf
Q3 2021,3,2021,Internal Revenue Service - American Opportunity Tax Credit,assets/scorecards/Q3 2021/American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q3.pdf,American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q3.pdf
Q4 2021,4,2021,Internal Revenue Service - American Opportunity Tax Credit,assets/scorecards/Q4 2021/American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q4.pdf,American Opportunity Tax Credit Payments Integrity Scorecard FY 2021 Q4.pdf
Q4 2023,4,2023,Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC),assets/scorecards/Q4 2023/Centeres for Medicare _ Medicaid Services (CMS) Advance Premium Tax Credit (APTC).pdf,Centeres for Medicare _ Medicaid Services (CMS) Advance Premium Tax Credit (APTC).pdf
Q4 2022,4,2022,Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP),assets/scorecards/Q4 2022/Centers for Medicare _ Medicaid Services (CMS) Children_s Health Insurance Program (CHIP) Payments Integrity Scorecard FY 2022 Q4.pdf,Centers for Medicare _ Medicaid Services (CMS) Children_s Health Insurance Program (CHIP) Payments Integrity Scorecard FY 2022 Q4.pdf
Q4 2023,4,2023,Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP),assets/scorecards/Q4 2023/Centers for Medicare _ Medicaid Services (CMS) Children_s Health Program (CHIP).pdf,Centers for Medicare _ Medicaid Services (CMS) Children_s Health Program (CHIP).pdf
