program_id,improper_payment_program_name,fiscal_year,outlays,improper_payment_amount,insufficient_documentation_amount,slug
10.234,*Internal Apportionment from OSEC*,2025,,,,
10.238,*Internal Apportionment from OSEC*,2025,,,,
10.241,*Internal Apportionment from OSEC*,2025,,,,
10.243,*Internal Apportionment from OSEC*,2025,,,,
45.032,21st Century Museum Professional Program,2025,,,,
59.041,504 Certified Development Loans Approvals,2004,170,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2005,3917,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2006,4274,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2007,6282,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2008,5245.6,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2009,0,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2010,4500.2,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2011,4375.3,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2012,5121.6,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2013,6386.9,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2014,4571.5,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2015,4189.53,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2016,4594.81,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2017,4947.6,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2018,4583.91,0,,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2019,4784.3,26.65,0.0,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2020,5683.35,216.52,0.0,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2021,6356.99454,195.090496,31.47027,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2022,10020.79,198.962331,2.278483,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2023,7150.243,196.703368,27.71412,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2024,6329.16,236.73,50.43,sba-504-certified-development-loans-approvals
59.041,504 Certified Development Loans Approvals,2025,7392.041,338.415,0.0,sba-504-certified-development-loans-approvals
59.012,7(a) Loan Guarantees Approvals,2004,0,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2005,0,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2006,0,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2007,13517,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2008,11739.1,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2009,0,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2010,11638.7,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2011,5327.8,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2012,12933.7,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2013,10994.5,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2014,11741.1,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2015,15160.48,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2016,17457.04,0,,sba-7-a-loan-guarantees-approvals
59.012,7(a) Loan Guarantees Approvals,2017,18115.96,0,,sba-7-a-loan-guarantees-approvals
